championship_name,event__name,round_name,rank,bib,nme,noc,total
2022 Shotgun World Championship,Trap Women,Qualification,14,1996,SKINNER Aeriel Alease,USA,114
2022 Shotgun World Championship,Trap Women,Qualification,15,1514,ROSSI Jessica,ITA,114
2022 Shotgun World Championship,Trap Women,Qualification,16,1286,ANTIKAINEN Noora,FIN,114
2022 Shotgun World Championship,Trap Women,Qualification,17,1355,ROBERTS Georgina Tamsin,GBR,114
2022 Shotgun World Championship,Trap Women,Qualification,18,1156,WU Cuicui,CHN,114
2022 Shotgun World Championship,Trap Women,Qualification,19,1505,GRASSIA Giulia,ITA,114
2022 Shotgun World Championship,Trap Women,Qualification,20,1302,WVEROMAA Mopsi,FIN,113
2022 Shotgun World Championship,Trap Women,Qualification,21,1890,SPOTAKOVA Jana,SVK,113
2022 Shotgun World Championship,Trap Women,Qualification,22,1591,ALHAWAL Sarah,KUW,113
2022 Shotgun World Championship,Trap Women,Qualification,23,1853,PERILLI Alessandra,SMR,112
2022 Shotgun World Championship,Trap Women,Qualification,24,1154,WANG Xinyi,CHN,112
2022 Shotgun World Championship,Trap Women,Qualification,25,1294,MAKELA-NUMMELA Satu,FIN,112
2022 Shotgun World Championship,Trap Women,Qualification,26,1783,RODRIGUES Ana Rita,POR,112
2022 Shotgun World Championship,Trap Women,Qualification,27,1794,CAMPOS-MARTYN Augusta Rose,PUR,112
2022 Shotgun World Championship,Trap Women,Qualification,28,1973,OKHOTSKA Olena,UKR,111
2022 Shotgun World Championship,Trap Women,Qualification,29,1460,NEERU Neru,IND,111
2022 Shotgun World Championship,Trap Women,Qualification,30,1241,ASHMAWY Maggy,EGY,111
2022 Shotgun World Championship,Trap Women,Qualification,31,1264,MOLNE MAGRINA Mar,ESP,111
2022 Shotgun World Championship,Trap Women,Qualification,32,2001,TOZIER Rachel Leighanne,USA,111
2022 Shotgun World Championship,Trap Women,Qualification,33,1592,ALHAWAL Shahad,KUW,111
2022 Shotgun World Championship,Trap Women,Qualification,34,1652,MARIRHI Yasmine,MAR,111
2022 Shotgun World Championship,Trap Women,Qualification,35,1464,SINGH Shreyasi,IND,110
2022 Shotgun World Championship,Trap Women,Qualification,36,1417,RUANO OLIVA Adriana,GUA,110
2022 Shotgun World Championship,Trap Women,Qualification,37,1571,LEE BoNa,KOR,110
2022 Shotgun World Championship,Trap Women,Qualification,38,1477,GORMALLY Aoife,IRL,110
2022 Shotgun World Championship,Trap Women,Qualification,39,1071,JAMALOVA Aydan,AZE,110
2022 Shotgun World Championship,Trap Women,Qualification,40,1670,RAMIREZ CABALLERO Alejandra,MEX,110
2022 Shotgun World Championship,Trap Women,Qualification,41,1375,BINDRICH Sarah,GER,110
2022 Shotgun World Championship,Trap Women,Qualification,42,1418,SOTO ABRIL Ana Waleska,GUA,109
2022 Shotgun World Championship,Trap Women,Qualification,43,1767,BERNAL Sandra,POL,109
2022 Shotgun World Championship,Trap Women,Qualification,44,1345,HEGARTY Kirsty,GBR,109
2022 Shotgun World Championship,Trap Women,Qualification,45,1506,IEZZI Alessia,ITA,109
